stock_a,stock_b,correlation
NEE,AAPL,0.32972945411748256
NFLX,AAPL,0.4902065017880191
NKE,AAPL,0.45641616689230685
NVDA,AAPL,0.5602224492073089
ORCL,AAPL,0.44647511017381036
PEP,AAPL,0.3566627250665859
PFE,AAPL,0.22332652273604486
PG,AAPL,0.30775434053362255
PM,AAPL,0.2535647124097677
PYPL,AAPL,0.5059970924758772
QCOM,AAPL,0.5843881578566081
RTX,AAPL,0.275613628674267
SBUX,AAPL,0.43894822654766114
SCHW,AAPL,0.27526998600492775
SO,AAPL,0.2442289582581387
SPG,AAPL,0.31077026834182375
T,AAPL,0.21795562765175303
TGT,AAPL,0.3193017208441786
TMO,AAPL,0.4251033683651448
TMUS,AAPL,0.3628601611027187
TSLA,AAPL,0.4607849295470979
TXN,AAPL,0.5578661852850566
UNH,AAPL,0.3025182097438646
UNP,AAPL,0.3474835534240086
UPS,AAPL,0.41195866219354754
USB,AAPL,0.2651806224689859
V,AAPL,0.4881902056932438
VZ,AAPL,0.19486797300806652
WFC,AAPL,0.2655476090742019
WMT,AAPL,0.2921314634131694
XOM,AAPL,0.20305870092543843
AAPL,ABBV,0.21720489818756022
ABT,ABBV,0.38787774618926124
ACN,ABBV,0.2837957731954896
ADBE,ABBV,0.20803309642864143
AIG,ABBV,0.29243079080876677
AMD,ABBV,0.11714892281527625
AMGN,ABBV,0.46475430879569724
AMT,ABBV,0.2703039302002941
AMZN,ABBV,0.14265188315404237
AVGO,ABBV,0.20012640856578756
AXP,ABBV,0.26158655770175626
BA,ABBV,0.17531571188412542
BAC,ABBV,0.276200727120374
BK,ABBV,0.2876485050877771
BKNG,ABBV,0.19561525540203234
BLK,ABBV,0.29523326618412393
BMY,ABBV,0.47593044187924877
BRK-B,ABBV,0.3722945248258789
C,ABBV,0.2820657676005971
CAT,ABBV,0.2792245299203237
CHTR,ABBV,0.22777751226129184
CL,ABBV,0.36095878831300193
CMCSA,ABBV,0.3032718037992922
COF,ABBV,0.23543571487406906
COP,ABBV,0.2515974485883144
COST,ABBV,0.23228321552100947
CRM,ABBV,0.19918608639148816
CSCO,ABBV,0.32013980939880293
CVS,ABBV,0.40457937566612917
CVX,ABBV,0.2942119357228875
DE,ABBV,0.26187105684895223
DHR,ABBV,0.31263797705748697
DIS,ABBV,0.20119529150321083
DOW,ABBV,0.2797747278115165
DUK,ABBV,0.3158944860663999
EMR,ABBV,0.2955020064235281
F,ABBV,0.20414926591143073
FDX,ABBV,0.2183759790081869
GD,ABBV,0.3033047837061586
GE,ABBV,0.21528069503406796
GILD,ABBV,0.390016152155531
GM,ABBV,0.21751219386684933
GOOGL,ABBV,0.21638734111734237
GS,ABBV,0.2676751459473149
HD,ABBV,0.2973401123673941
HON,ABBV,0.3066795300036671
IBM,ABBV,0.33331143651931155
INTC,ABBV,0.2142692109223741
INTU,ABBV,0.23605369276976707
JNJ,ABBV,0.46783121658289495
JPM,ABBV,0.30733317016034273
KHC,ABBV,0.3070276936434139
KO,ABBV,0.3962959390124205
LIN,ABBV,0.31159688607825076
LLY,ABBV,0.3849291894154662
LMT,ABBV,0.27574216497659143
LOW,ABBV,0.276806378546521
MA,ABBV,0.2975738966641834
MCD,ABBV,0.3066324423219942
MDLZ,ABBV,0.3560056530059277
MDT,ABBV,0.3850569206964985
MET,ABBV,0.31864248882351437
META,ABBV,0.16543404808095685
MMM,ABBV,0.28309146323782863
MO,ABBV,0.34252480084270326
MRK,ABBV,0.4324047187047561
MS,ABBV,0.2663753748986827
MSFT,ABBV,0.23132625377913626
NEE,ABBV,0.2431792631568869
NFLX,ABBV,0.12323959997651666
NKE,ABBV,0.2231747093674855
NVDA,ABBV,0.14197167796944696
ORCL,ABBV,0.20349622585275232
PEP,ABBV,0.374380335021636
PFE,ABBV,0.41144021480696036
PG,ABBV,0.3560985350047857
PM,ABBV,0.3619860616164928
PYPL,ABBV,0.1886970569934699
QCOM,ABBV,0.18977842964044145
RTX,ABBV,0.3069171152932055
SBUX,ABBV,0.2496099408058741
SCHW,ABBV,0.21834392204344064
SO,ABBV,0.30038108749075265
SPG,ABBV,0.2517172995046502
T,ABBV,0.2963505656311728
TGT,ABBV,0.24309814387218348
TMO,ABBV,0.3137867586972906
TMUS,ABBV,0.26823412539988684
TSLA,ABBV,0.1101567829172103
TXN,ABBV,0.2296102718382463
UNH,ABBV,0.3790014654252337
UNP,ABBV,0.2950238071476682
UPS,ABBV,0.29281761656265287
USB,ABBV,0.28256953521487876
V,ABBV,0.31958219651380354
VZ,ABBV,0.2930991331875617
WFC,ABBV,0.27146282487205914
WMT,ABBV,0.25357361554172886
XOM,ABBV,0.2678273768895739
AAPL,ABT,0.3728650292257019
ABBV,ABT,0.38787774618926124
ACN,ABT,0.46353648150817306
ADBE,ABT,0.3958317906391366
AIG,ABT,0.25303806767545983
AMD,ABT,0.2780096703475524
AMGN,ABT,0.39554570637792014
AMT,ABT,0.45437742181092006
AMZN,ABT,0.30968917185383443
AVGO,ABT,0.3075294712822539
AXP,ABT,0.32298409518169546
BA,ABT,0.23876304857460362
BAC,ABT,0.3036383562176905
BK,ABT,0.3203748381398507
BKNG,ABT,0.2510328853343417
BLK,ABT,0.43632594555692433
BMY,ABT,0.34839243670684145
BRK-B,ABT,0.4108937215342465
C,ABT,0.2763536740155932
CAT,ABT,0.24347732058825097
CHTR,ABT,0.3100638787220087
CL,ABT,0.436343371317651
CMCSA,ABT,0.34516271693636114
COF,ABT,0.270021535819396
COP,ABT,0.13764219543064787
COST,ABT,0.3793300326735486
CRM,ABT,0.3720636549646136
CSCO,ABT,0.4376514646067747
CVS,ABT,0.3082532715645522
CVX,ABT,0.19189819106678027
DE,ABT,0.27164541225703587
DHR,ABT,0.5559365414658162
DIS,ABT,0.2962319887608783
DOW,ABT,0.2371623225398149
DUK,ABT,0.3733895191519325
EMR,ABT,0.3301085407992914
F,ABT,0.26228784650999076
FDX,ABT,0.32056427535078885
GD,ABT,0.29910591433498995
GE,ABT,0.23373130652248283
GILD,ABT,0.370952985350199
GM,ABT,0.2622669453049839
GOOGL,ABT,0.35145217849585
GS,ABT,0.3152034875382472
HD,ABT,0.3981945080642338
HON,ABT,0.38928892464020615
IBM,ABT,0.3398095174701489
INTC,ABT,0.33202526921132547
INTU,ABT,0.4224878105201719
JNJ,ABT,0.49551060595126317
JPM,ABT,0.32684268563899066
KHC,ABT,0.2803757006901313
KO,ABT,0.425735877443518
LIN,ABT,0.43605371223938505
LLY,ABT,0.32389856017190444
LMT,ABT,0.26451124059807485
LOW,ABT,0.3907126195395529
MA,ABT,0.42449767005379896
MCD,ABT,0.3917545629545359
MDLZ,ABT,0.4382720232904205
MDT,ABT,0.5297828712198506
MET,ABT,0.31257617821605527
META,ABT,0.31890125077338977
MMM,ABT,0.3437110794841469
MO,ABT,0.2817152384618956
MRK,ABT,0.35646390953091467
MS,ABT,0.3364160527937839
MSFT,ABT,0.4143526088178784
NEE,ABT,0.39895657213749286
NFLX,ABT,0.2710358364941496
NKE,ABT,0.3647905268203328
NVDA,ABT,0.30113569627809833
ORCL,ABT,0.33179970169818634
PEP,ABT,0.4384694211368523
PFE,ABT,0.3662441284363893
PG,ABT,0.45145247303321356
PM,ABT,0.35581621456893775
PYPL,ABT,0.3788278919688792
QCOM,ABT,0.3255341164945367
RTX,ABT,0.2694141362993413
SBUX,ABT,0.38017758678188734
SCHW,ABT,0.25502194616712304
SO,ABT,0.37611231499952547
SPG,ABT,0.2554644412894025
T,ABT,0.312269245884142
TGT,ABT,0.31237478855003076
TMO,ABT,0.5866695564217909
TMUS,ABT,0.34501436146891695
TSLA,ABT,0.207603095205827
TXN,ABT,0.37899126683323336
UNH,ABT,0.36490724045750483
UNP,ABT,0.3654435418822789
UPS,ABT,0.4008684964778215
USB,ABT,0.28932369085387577
V,ABT,0.43975134714669384
VZ,ABT,0.320790686912528
WFC,ABT,0.2585026050095748
WMT,ABT,0.3017848148867457
XOM,ABT,0.15262032769081507
AAPL,ACN,0.5137274572094882
ABBV,ACN,0.2837957731954896
ABT,ACN,0.46353648150817306
ADBE,ACN,0.5945525128290116
AIG,ACN,0.4252364624275094
AMD,ACN,0.42180825073197037
AMGN,ACN,0.33373453157284205
AMT,ACN,0.42604749810641873
AMZN,ACN,0.4766705260867665
AVGO,ACN,0.5168720404455861
AXP,ACN,0.49846261737468656
BA,ACN,0.34779563284364273
BAC,ACN,0.42904754260981093
BK,ACN,0.4525722123449271
BKNG,ACN,0.4370534975042924
BLK,ACN,0.5946372633802931
BMY,ACN,0.276365921566214
BRK-B,ACN,0.5300311633414253
C,ACN,0.4221717832628752
CAT,ACN,0.4214916740790465
CHTR,ACN,0.37247288593869643
CL,ACN,0.34466628037503827
CMCSA,ACN,0.45609997826239546
COF,ACN,0.4429054743025049
COP,ACN,0.26030985448643224
COST,ACN,0.47216674557903565
CRM,ACN,0.5439191079393053
CSCO,ACN,0.5710596038521539
CVS,ACN,0.30116786166195936
CVX,ACN,0.3155049328158441
DE,ACN,0.3882556235445921
DHR,ACN,0.49371724602907935
DIS,ACN,0.4873408403140523
DOW,ACN,0.4014569087028818
DUK,ACN,0.3087042028187703
EMR,ACN,0.49799608111740223
F,ACN,0.40039145609967597
FDX,ACN,0.43543242018467954
GD,ACN,0.3991762256897339
GE,ACN,0.38086666434020844
GILD,ACN,0.28460930978341836
GM,ACN,0.4040101235872898
GOOGL,ACN,0.5444927993076594
GS,ACN,0.46615787068605363
HD,ACN,0.5190890480922469
HON,ACN,0.5275253510293102
IBM,ACN,0.5265357267195898
INTC,ACN,0.4363971010229302
INTU,ACN,0.6215522053521484
JNJ,ACN,0.35311719818686066
JPM,ACN,0.44033293795962525
KHC,ACN,0.25418028494237316
KO,ACN,0.4238714905539285
LIN,ACN,0.5748733702572552
LLY,ACN,0.2792105857990769
LMT,ACN,0.27228930771580495
LOW,ACN,0.49318542930349857
MA,ACN,0.583440472694358
MCD,ACN,0.4335628495891138
MDLZ,ACN,0.4031335565131937
MDT,ACN,0.46374351111285356
MET,ACN,0.43791878789462435
META,ACN,0.4735896707680303
MMM,ACN,0.43751880704785
MO,ACN,0.29236409698290405
MRK,ACN,0.24217772555705994
MS,ACN,0.4947170789560252
MSFT,ACN,0.5980853335445664
NEE,ACN,0.3816076443567872
NFLX,ACN,0.3994249578082342
NKE,ACN,0.506744062347184
NVDA,ACN,0.4762693931771545
ORCL,ACN,0.5066381053676121
PEP,ACN,0.392915977137084
PFE,ACN,0.2963366998394671
PG,ACN,0.38198883407524253
PM,ACN,0.34802944297989863
PYPL,ACN,0.4908691490400836
QCOM,ACN,0.4767343145391708
RTX,ACN,0.3901841920354486
SBUX,ACN,0.48340110709259365
SCHW,ACN,0.3871093413987969
SO,ACN,0.3255715880949822
SPG,ACN,0.41357060347438684
T,ACN,0.33543633347425345
TGT,ACN,0.3750270675578525
TMO,ACN,0.48665291111614606
TMUS,ACN,0.3766603430267536
TSLA,ACN,0.3194429999689972
TXN,ACN,0.5490375541913286
UNH,ACN,0.35523317344759964
UNP,ACN,0.48787915186583974
UPS,ACN,0.45201483002742454
USB,ACN,0.41994829311994764
V,ACN,0.5758079393124571
VZ,ACN,0.2884465596054843
WFC,ACN,0.39206428488296197
WMT,ACN,0.2994313124947156
XOM,ACN,0.26422195790647884
AAPL,ADBE,0.5926493012880999
ABBV,ADBE,0.20803309642864143
ABT,ADBE,0.3958317906391366
ACN,ADBE,0.5945525128290116
AIG,ADBE,0.2369582882722333
AMD,ADBE,0.5524335927612504
AMGN,ADBE,0.27148837951695937
AMT,ADBE,0.336762038289498
AMZN,ADBE,0.6319085225841445
AVGO,ADBE,0.5723583302672098
AXP,ADBE,0.33340087058859336
BA,ADBE,0.26199117411109435
BAC,ADBE,0.2509136539020118
BK,ADBE,0.2781566862803816
BKNG,ADBE,0.3669816116359123
BLK,ADBE,0.4820701360379044
BMY,ADBE,0.15503577666608281
BRK-B,ADBE,0.3327967802210599
C,ADBE,0.26373589260480357
CAT,ADBE,0.2472760553785711
CHTR,ADBE,0.3592143527259229
CL,ADBE,0.211920971195331
CMCSA,ADBE,0.3810922538597054
COF,ADBE,0.27452038626278125
COP,ADBE,0.1608920682372043
COST,ADBE,0.4866537553500854
CRM,ADBE,0.6720251523976635
CSCO,ADBE,0.4742298112341209
CVS,ADBE,0.15091823098429913
CVX,ADBE,0.17447773366923097
DE,ADBE,0.22718638995652055
DHR,ADBE,0.43809654202865295
DIS,ADBE,0.39154376748934566
DOW,ADBE,0.22437036848003952
DUK,ADBE,0.1411021432833074
EMR,ADBE,0.32624843487162375
F,ADBE,0.2770850758846573
FDX,ADBE,0.360588892355092
GD,ADBE,0.2164186605370801
GE,ADBE,0.2532385471938998
GILD,ADBE,0.2187977748181032
GM,ADBE,0.27453042740062755
GOOGL,ADBE,0.6220405033002846
GS,ADBE,0.30651848747391197
HD,ADBE,0.43224702841543
HON,ADBE,0.34018451502333935
IBM,ADBE,0.296264472779341
INTC,ADBE,0.4619278261042806
INTU,ADBE,0.6999002779893979
JNJ,ADBE,0.1997225684453864
JPM,ADBE,0.26226480380820927
KHC,ADBE,0.1358279625657149
KO,ADBE,0.2576044308505518
LIN,ADBE,0.4209712621732047
LLY,ADBE,0.2511243804817714
LMT,ADBE,0.1593926064608176
LOW,ADBE,0.41744427480272916
MA,ADBE,0.5002047589933862
MCD,ADBE,0.31435598116399466
MDLZ,ADBE,0.286111610246033
MDT,ADBE,0.3307390475556155
MET,ADBE,0.23188381844352587
META,ADBE,0.5961251278317637
MMM,ADBE,0.26390102693157846
MO,ADBE,0.14418395272246298
MRK,ADBE,0.14061842028397328
MS,ADBE,0.3170886351896283
MSFT,ADBE,0.7126405044072716
NEE,ADBE,0.27444057572525915
NFLX,ADBE,0.5489008099069898
NKE,ADBE,0.44130151741146834
NVDA,ADBE,0.6152923297668074
ORCL,ADBE,0.4865653944448172
PEP,ADBE,0.3084598613543907
PFE,ADBE,0.18820642206164656
PG,ADBE,0.2521737991619732
PM,ADBE,0.20907093683031724
PYPL,ADBE,0.5628789462048661
QCOM,ADBE,0.5511842534609498
RTX,ADBE,0.23372432376716384
SBUX,ADBE,0.4143820954898357
SCHW,ADBE,0.2511061859320045
SO,ADBE,0.16301111776099209
SPG,ADBE,0.2600138744953474
T,ADBE,0.15929741763123118
TGT,ADBE,0.33411790346752646
TMO,ADBE,0.4544211205358633
TMUS,ADBE,0.36991943227492746
TSLA,ADBE,0.4250091830159733
TXN,ADBE,0.5482201708416384
UNH,ADBE,0.25261706712939463
UNP,ADBE,0.3059428538156555
UPS,ADBE,0.36828963667730646
USB,ADBE,0.2264471447716391
V,ADBE,0.5063334867079177
VZ,ADBE,0.13376092907186946
WFC,ADBE,0.21659624428689755
WMT,ADBE,0.2509803359980446
XOM,ADBE,0.1344514966155129
AAPL,AIG,0.2733655800184404
ABBV,AIG,0.29243079080876677
ABT,AIG,0.25303806767545983
ACN,AIG,0.4252364624275094
ADBE,AIG,0.2369582882722333
AMD,AIG,0.20636410349798062
AMGN,AIG,0.25818259919028197
AMT,AIG,0.22688723743679853
AMZN,AIG,0.2158169756867012
AVGO,AIG,0.31999453255889176
AXP,AIG,0.6493427896668315
BA,AIG,0.497463076618309
BAC,AIG,0.6814660409251057
BK,AIG,0.6508357315435868
BKNG,AIG,0.457252235880334
BLK,AIG,0.5113746118738832
BMY,AIG,0.2504709226526728
BRK-B,AIG,0.6494543347896876
C,AIG,0.659342295994564
CAT,AIG,0.5554671734025818
CHTR,AIG,0.2622630900638594
CL,AIG,0.24456338133652553
CMCSA,AIG,0.4083393964168112
COF,AIG,0.6728409197980726
COP,AIG,0.4921110725150755
COST,AIG,0.22227306015307913
CRM,AIG,0.2627176707907171
CSCO,AIG,0.3996507005669507
CVS,AIG,0.4311730450942541
CVX,AIG,0.5093347034805127
DE,AIG,0.5068372737386271
DHR,AIG,0.23143493791227027
DIS,AIG,0.4687968199500465
DOW,AIG,0.5665213089548118
DUK,AIG,0.3039961334913541
EMR,AIG,0.5823856050421763
F,AIG,0.5208937840012776
FDX,AIG,0.44139771357736524
GD,AIG,0.5416989422666273
GE,AIG,0.5250100379938175
GILD,AIG,0.218406336884503
GM,AIG,0.5480298139362321
GOOGL,AIG,0.28955327471041487
GS,AIG,0.6248710816256343
HD,AIG,0.3725952529318338
HON,AIG,0.57347606368859
IBM,AIG,0.4841120804536941
INTC,AIG,0.2988861961479682
INTU,AIG,0.30105658924744294
JNJ,AIG,0.25088025821181176
JPM,AIG,0.6976540387163852
KHC,AIG,0.3176283340366498
KO,AIG,0.40020079418104776
LIN,AIG,0.48216054686345866
LLY,AIG,0.17557752141860455
LMT,AIG,0.371658975374126
LOW,AIG,0.3794711091214759
MA,AIG,0.44805716191348055
MCD,AIG,0.3805101356051257
MDLZ,AIG,0.31080072467811304
MDT,AIG,0.40903665385330706
MET,AIG,0.7777536241118577
META,AIG,0.2654173591097357
MMM,AIG,0.43744205000314584
MO,AIG,0.4089815442050583
MRK,AIG,0.23465801873814376
MS,AIG,0.6293931717338319
MSFT,AIG,0.26933939402100243
NEE,AIG,0.247603322784799
NFLX,AIG,0.15208300677173459
NKE,AIG,0.36859629740233524
NVDA,AIG,0.24074584739740676
ORCL,AIG,0.3232545491637352
PEP,AIG,0.2849896796786776
PFE,AIG,0.22488952378762142
PG,AIG,0.23802377134610345
PM,AIG,0.38822146039860445
PYPL,AIG,0.27931304424455233
QCOM,AIG,0.3197248986204114
RTX,AIG,0.5471838417060394
SBUX,AIG,0.39845728920577184
SCHW,AIG,0.558728237052801
SO,AIG,0.3093345185787465
SPG,AIG,0.5651345201289553
T,AIG,0.4240147855866536
TGT,AIG,0.3157279434194389
TMO,AIG,0.21985560107555746
TMUS,AIG,0.3057478979227092
TSLA,AIG,0.21372537598151733
TXN,AIG,0.3463748532270453
UNH,AIG,0.3122653763502129
UNP,AIG,0.47219706368588443
UPS,AIG,0.36094409010356604
USB,AIG,0.6625672944060439
V,AIG,0.4381055386520157
VZ,AIG,0.2919858479111549
WFC,AIG,0.6496132403594349
WMT,AIG,0.20194200836857853
XOM,AIG,0.49665782099029965
AAPL,AMD,0.5114622881484008
ABBV,AMD,0.11714892281527625
ABT,AMD,0.2780096703475524
ACN,AMD,0.42180825073197037
ADBE,AMD,0.5524335927612504
AIG,AMD,0.20636410349798062
AMGN,AMD,0.20075745939239317
AMT,AMD,0.22894556410753272
AMZN,AMD,0.5434408510922782
AVGO,AMD,0.5912017625888122
AXP,AMD,0.30680716796690977
BA,AMD,0.28274461103778353
BAC,AMD,0.25247436149954916
BK,AMD,0.25184857175734593
BKNG,AMD,0.3617430351445111
BLK,AMD,0.407857217657299
BMY,AMD,0.0990765135631379
BRK-B,AMD,0.26918941754737424
C,AMD,0.2755831018275294
CAT,AMD,0.2690894281805267
CHTR,AMD,0.25683686825781166
CL,AMD,0.11398242969430336
CMCSA,AMD,0.3106645334154273
COF,AMD,0.26973800325662683
COP,AMD,0.15688398487550967
COST,AMD,0.40035823298936923
CRM,AMD,0.506662738700959
CSCO,AMD,0.38641013241083844
CVS,AMD,0.14241157770892063
CVX,AMD,0.17140256331062664
DE,AMD,0.23887991897581384
DHR,AMD,0.3465040131924477
DIS,AMD,0.3295729937624651
DOW,AMD,0.22613985298608036
DUK,AMD,0.09066555616676046
EMR,AMD,0.32240261164537043
F,AMD,0.29669570964762393
FDX,AMD,0.3224675048931445
GD,AMD,0.17609623764886123
GE,AMD,0.2581308461596098
GILD,AMD,0.13408952582404207
GM,AMD,0.28466094673734876
GOOGL,AMD,0.5151340987556252
GS,AMD,0.3133013109160489
HD,AMD,0.35697393288854634
HON,AMD,0.28442720498999857
IBM,AMD,0.2662852214478418
INTC,AMD,0.5404722965374936
INTU,AMD,0.5342503503442829
JNJ,AMD,0.12999592144035865
JPM,AMD,0.2514989192628862
KHC,AMD,0.11135210481510122
KO,AMD,0.13932132307334827
LIN,AMD,0.35085923058340296
LLY,AMD,0.20832384628538156
LMT,AMD,0.11097654722059491
LOW,AMD,0.338201928505695
MA,AMD,0.39055797501132133
MCD,AMD,0.23728108307025172
MDLZ,AMD,0.19782562971317505
MDT,AMD,0.22954798403080676
MET,AMD,0.21055864070536742
META,AMD,0.5127536376837272
MMM,AMD,0.23833682515520827
MO,AMD,0.10227510628651107
MRK,AMD,0.09289556787176109
MS,AMD,0.3272694661971764
MSFT,AMD,0.5651698074517564
NEE,AMD,0.2064102441755513
NFLX,AMD,0.4581680102108643
NKE,AMD,0.35637345649510027
NVDA,AMD,0.7200486289235871
ORCL,AMD,0.38150806021770833
PEP,AMD,0.17121077632229909
PFE,AMD,0.14388321137147977
PG,AMD,0.14056221507219055
PM,AMD,0.13304493900418218
PYPL,AMD,0.46402514618209656
QCOM,AMD,0.6251443057987592
RTX,AMD,0.19286469880341864
SBUX,AMD,0.35838824667744135
SCHW,AMD,0.26002921042056915
SO,AMD,0.11218658924269707
SPG,AMD,0.23870488364656658
T,AMD,0.12437833250790609
TGT,AMD,0.3023572462846584
TMO,AMD,0.35649305117869884
TMUS,AMD,0.29525067347604045
TSLA,AMD,0.42358849658249853
TXN,AMD,0.5899843688908898
UNH,AMD,0.19206323527737437
UNP,AMD,0.23814367153872984
UPS,AMD,0.33481832721858257
USB,AMD,0.2157803337341122
V,AMD,0.3795446463810625
VZ,AMD,0.08966054905912264
WFC,AMD,0.21816122184313225
WMT,AMD,0.19443388065990802
XOM,AMD,0.1317266525686439
AAPL,AMGN,0.3030238521167688
ABBV,AMGN,0.46475430879569724
ABT,AMGN,0.39554570637792014
ACN,AMGN,0.33373453157284205
ADBE,AMGN,0.27148837951695937
AIG,AMGN,0.25818259919028197
AMD,AMGN,0.20075745939239317
AMT,AMGN,0.35140938480522993
AMZN,AMGN,0.2323159285110752
AVGO,AMGN,0.2551231287902115
AXP,AMGN,0.2616660755576063
BA,AMGN,0.1707787155287711
BAC,AMGN,0.27367621188677854
BK,AMGN,0.284572038555008
BKNG,AMGN,0.22233508618985176
BLK,AMGN,0.36078096831592454
BMY,AMGN,0.4253674153419141
BRK-B,AMGN,0.3630955589978497
C,AMGN,0.27596500236831967
CAT,AMGN,0.30009445352972397
CHTR,AMGN,0.3063666674675979
CL,AMGN,0.35928786852454375
CMCSA,AMGN,0.3817560951852106
COF,AMGN,0.23877384434144805
COP,AMGN,0.19527190751169868
COST,AMGN,0.3038524720197774
CRM,AMGN,0.2314220579825811
CSCO,AMGN,0.3955834236549251
CVS,AMGN,0.35894417536090634
CVX,AMGN,0.23644712192770673
DE,AMGN,0.2576063045186599
DHR,AMGN,0.34999543309466147
DIS,AMGN,0.22138144727861422
DOW,AMGN,0.28108872545748786
DUK,AMGN,0.3465775531656757
EMR,AMGN,0.3088050365936761
F,AMGN,0.2252424955851669
FDX,AMGN,0.2646828328667792
GD,AMGN,0.31482551158725697
GE,AMGN,0.22285614706573462
GILD,AMGN,0.4888305404157723
GM,AMGN,0.2168128840439288
GOOGL,AMGN,0.26941414620196974
GS,AMGN,0.27966889473501483
HD,AMGN,0.34166222270999913
HON,AMGN,0.347723563632808
IBM,AMGN,0.36921964765202503
INTC,AMGN,0.3101060128974216
INTU,AMGN,0.3002690177478089
JNJ,AMGN,0.49684870955104976
JPM,AMGN,0.2859227045872493
KHC,AMGN,0.37045079470374076
KO,AMGN,0.37307710833098373
LIN,AMGN,0.33226600100009884
LLY,AMGN,0.38513779923746605
LMT,AMGN,0.28400196964578467
LOW,AMGN,0.3196129921157771
MA,AMGN,0.28731701438691487
MCD,AMGN,0.32630247248054967
MDLZ,AMGN,0.40826192097028596
MDT,AMGN,0.35444491924869526
MET,AMGN,0.2949286086009662
META,AMGN,0.2551868072714714
MMM,AMGN,0.35814734691602523
MO,AMGN,0.3414663774192421
MRK,AMGN,0.42639607900948395
MS,AMGN,0.2861891974930044
MSFT,AMGN,0.31078827438322154
NEE,AMGN,0.28414499838604906
NFLX,AMGN,0.2130663071744405
NKE,AMGN,0.23512822045767504
NVDA,AMGN,0.19772795476857496
ORCL,AMGN,0.2900687716904123
PEP,AMGN,0.42976347362421846
PFE,AMGN,0.3927163440631002
PG,AMGN,0.3728529816198933
PM,AMGN,0.3451569731426892
PYPL,AMGN,0.26086464397498843
QCOM,AMGN,0.26313938946072835
RTX,AMGN,0.26719479040733296
SBUX,AMGN,0.2849177501020301
SCHW,AMGN,0.24245346023406472
SO,AMGN,0.3327551619995636
SPG,AMGN,0.24067912525649446
T,AMGN,0.32377521198405845
TGT,AMGN,0.27445588325588366
TMO,AMGN,0.3536322272827847
TMUS,AMGN,0.30794727681865003
TSLA,AMGN,0.14972636929054298
TXN,AMGN,0.3347998979946545
UNH,AMGN,0.36118658208479504
UNP,AMGN,0.318647880059865
UPS,AMGN,0.31182333231470427
USB,AMGN,0.29865079198151334
V,AMGN,0.31525373346547925
VZ,AMGN,0.32369354429142305
WFC,AMGN,0.2505316515084814
WMT,AMGN,0.2815374677454038
XOM,AMGN,0.19935275294345312
AAPL,AMT,0.34288992568958526
ABBV,AMT,0.2703039302002941
ABT,AMT,0.45437742181092006
ACN,AMT,0.42604749810641873
ADBE,AMT,0.336762038289498
AIG,AMT,0.22688723743679853
AMD,AMT,0.22894556410753272
AMGN,AMT,0.35140938480522993
AMZN,AMT,0.28414252919282473
AVGO,AMT,0.2531475684563526
AXP,AMT,0.27417044818171515
